STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN;RS_01;RTH_01;RWH_01;RS_IND_01;eor
         20;201903010217;201903010217;    3;  0.00;  -999;  -999;-999;eor
         20;201903010218;201903010218;    3;  0.00;  -999;  -999;-999;eor
         20;201903010219;201903010219;    3;  0.00;  -999;  -999;-999;eor
         20;201903010220;201903010220;    3;  0.00;  -999;  -999;-999;eor
         20;201903010221;201903010221;    3;  0.00;  -999;  -999;-999;eor
         20;201903010222;201903010222;    3;  0.00;  -999;  -999;-999;eor
         20;201903010223;201903010223;    3;  0.03;  -999;  -999;-999;eor
         20;201903010224;201903010224;    3;  0.00;  -999;  -999;-999;eor
         20;201903010225;201903010225;    3;  0.00;  -999;  -999;-999;eor
         20;201903010226;201903010226;    3;  0.00;  -999;  -999;-999;eor
         20;201903010227;201903010227;    3;  0.03;  -999;  -999;-999;eor
         20;201903010228;201903010228;    3;  0.00;  -999;  -999;-999;eor
         20;201903010229;201903010229;    3;  0.00;  -999;  -999;-999;eor
         20;201903010230;201903010230;    3;  0.00;  -999;  -999;-999;eor
         20;201903010231;201903010231;    3;  0.00;  -999;  -999;-999;eor
         20;201903010232;201903010232;    3;  0.00;  -999;  -999;-999;eor
         20;201903010233;201903010233;    3;  0.00;  -999;  -999;-999;eor
         20;201903010234;201903010234;    3;  0.00;  -999;  -999;-999;eor
         20;201903010235;201903010235;    3;  0.00;  -999;  -999;-999;eor
         20;201903010236;201903010236;    3;  0.00;  -999;  -999;-999;eor
         20;201903010237;201903010237;    3;  0.00;  -999;  -999;-999;eor
         20;201903010238;201903010238;    3;  0.00;  -999;  -999;-999;eor
         20;201903010239;201903010239;    3;  0.00;  -999;  -999;-999;eor
         20;201903010240;201903010240;    3;  0.00;  -999;  -999;-999;eor
         20;201903010241;201903010241;    3;  0.00;  -999;  -999;-999;eor
         20;201903010242;201903010242;    3;  0.00;  -999;  -999;-999;eor
         20;201903010243;201903010243;    3;  0.00;  -999;  -999;-999;eor
         20;201903010244;201903010244;    3;  0.00;  -999;  -999;-999;eor
         20;201903010245;201903010245;    3;  0.04;  -999;  -999;-999;eor
         20;201903010246;201903010246;    3;  0.00;  -999;  -999;-999;eor
         20;201903010247;201903010247;    3;  0.00;  -999;  -999;-999;eor
         20;201903010248;201903010248;    3;  0.00;  -999;  -999;-999;eor
         20;201903010249;201903010249;    3;  0.00;  -999;  -999;-999;eor
         20;201903010250;201903010250;    3;  0.00;  -999;  -999;-999;eor
         20;201903010251;201903010251;    3;  0.00;  -999;  -999;-999;eor
         20;201903010252;201903010252;    3;  0.00;  -999;  -999;-999;eor
         20;201903010253;201903010253;    3;  0.00;  -999;  -999;-999;eor
         20;201903010254;201903010254;    3;  0.00;  -999;  -999;-999;eor
         20;201903010255;201903010255;    3;  0.00;  -999;  -999;-999;eor
         20;201903010256;201903010256;    3;  0.00;  -999;  -999;-999;eor
         20;201903010257;201903010257;    3;  0.00;  -999;  -999;-999;eor
         20;201903010258;201903010258;    3;  0.00;  -999;  -999;-999;eor
         20;201903010259;201903010259;    3;  0.04;  -999;  -999;-999;eor
         20;201903010300;201903010300;    3;  0.02;  -999;  -999;-999;eor
         20;201903010301;201903010301;    3;  0.00;  -999;  -999;-999;eor
         20;201903010302;201903010302;    3;  0.03;  -999;  -999;-999;eor
         20;201903010303;201903010303;    3;  0.00;  -999;  -999;-999;eor
         20;201903010304;201903010304;    3;  0.00;  -999;  -999;-999;eor
         20;201903010305;201903010305;    3;  0.00;  -999;  -999;-999;eor
         20;201903010306;201903010306;    3;  0.04;  -999;  -999;-999;eor
         20;201903010307;201903010307;    3;  0.01;  -999;  -999;-999;eor
         20;201903010308;201903010308;    3;  0.00;  -999;  -999;-999;eor
         20;201903010309;201903010309;    3;  0.00;  -999;  -999;-999;eor
         20;201903010310;201903010310;    3;  0.00;  -999;  -999;-999;eor
         20;201903010311;201903010311;    3;  0.00;  -999;  -999;-999;eor
         20;201903010312;201903010312;    3;  0.03;  -999;  -999;-999;eor
         20;201903010313;201903010313;    3;  0.01;  -999;  -999;-999;eor
         20;201903010314;201903010314;    3;  0.00;  -999;  -999;-999;eor
         20;201903010315;201903010315;    3;  0.00;  -999;  -999;-999;eor
         20;201903010316;201903010316;    3;  0.05;  -999;  -999;-999;eor
         20;201903010317;201903010317;    3;  0.01;  -999;  -999;-999;eor
         20;201903010318;201903010318;    3;  0.00;  -999;  -999;-999;eor
